prior_phase,metric,value,source_file,interpretation
burden pivot,burden pivot ADR,0.856359,docs/PHASE5_2C_PRE_ADR_BOUNDED_REMEDIATION_ANALYSIS.md,00ms | 0.856359 | 5.95572 | event recall is materially sensitive to scoring tolerance | ## R3 Burden/State Ceiling | target_id | window_s | score_source | deployability_class | pearson_correlation | high_burden_AUROC |
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5Q_ADJUDICATION.md,t. - Fresh raw all-channel validation: `lif_swta_d2_entry_event_proxy` did not validate as a patch candidate. It kept FP/min below 2 but recall collapsed. ## Outputs - `results/tables/05_phase5/adjudication/d2_occupancy_event_audit.tsv` - `results/tables/05_phase5/adjudication/d2_occupancy_audit.md` -
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5Q_ADJUDICATION.md,"ase 5 detector patch. It keeps Phase 3 labels frozen, keeps Phase 4 as the front-end baseline, and does not run Phase 6 LOSO, MEG, hardware deployment, or black-box classifiers. ## Result Selected closeout: Outcome A, metric bug found. The D2/D2+ occupancy audit found that preserved Phase 5P latency"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5P_FUSION_PROBE.md,"fine Phase 3 labels, redesign Phase 4 globally, replace the monoNSM with a black-box classifier, use MEG, start Phase 6 LOSO evaluation, or target hardware deployment. ## Commands ```bash python scripts/05j_fusion_probe_evidence_table.py python scripts/05k_fusion_probe_synthetic.py python scripts/05l_"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.015,docs/PHASE5V_HIGHTHROUGHPUT.md,"tcome 1, current representations are information-limited. Best branch metrics: | Branch | Best candidate | Recall <=1 FP/min | Best event F1 | AUC | |---|---:|---:|---:|---:| | teacher_ladder | `L3_causal_conv` | 0.015 | 0.193 | 0.582 | | spiking_eventizer | `L1_lif_sparse_f16_tau20` | 0.078 | 0.327 | 0"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5V_HIGHTHROUGHPUT.md,the Phase 4 front end frozen and remains STN-LFP only. ## Guardrails - No Phase 3 relabeling. - No MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic black-box final detector. - Event metrics are primary; AUC and PR-AUC are secondary. ## Resume Job Previous interactive job `25
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_CAUSAL_FRONTEND_REMEDIATION_PLAN.md,# Phase 5_2C Causal Frontend Remediation Plan Status: accepted_for_causal_frontend_recovery_gate ## Scope This plan remediates only the seven approved Phase 5_2C feature families. It does n
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_2C_CAUSAL_FRONTEND_REMEDIATION_PLAN.md,"lds/calibration. - Treat missing pre-window history as unavailable, not as permission to use future samples. - Preserve LOSO discipline: held-out participants are evaluation-only. - Keep spatial/top-k context same-time and channel-local; no label-based channel selection. ## Stage Gates R1 requires syn"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.572,docs/PHASE5T_TRAINING.md,"candidate-event proposals. It is not a final detector. The gate failed: - candidate-score AUC: ~0.572 - recall at <=1 FP/min: 0.0 - recall at <=0.5 FP/min: 0.0 - E2-E6: gate-skipped No raw LFP, extracted FIF, MNE object, GPU-heavy training, Phase 6 LOSO, MEG, or hardware deployment was run in this pass"
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,docs/PHASE5T_TRAINING.md,"- recall at <=0.5 FP/min: 0.0 - E2-E6: gate-skipped No raw LFP, extracted FIF, MNE object, GPU-heavy training, Phase 6 LOSO, MEG, or hardware deployment was run in this pass. ## Phase 5T-2 Dense-Trace Audit Phase 5T-2 corrects the preserved-artifact limitation by regenerating dense Phase 4/5 traces f"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/decisions.md,does not recover the dev case. Band-sWTA + duration counter is retained only as an interpretable comparator because its FP/min is too high. **Rationale:** The ablation directly tests the front-end hypothesis without redefining Phase 3 labels or replacing the monoNSM with a black-box classifier. The eviden
Phase 5_2B,Phase 5_2B AUROC/subset,0.006,docs/decisions.md,"call to about 0.006. The next scientific path is the planned training-based route, not Phase 3 relabeling, MEG, Phase 6 LOSO, hardware deployment, or a blind monoNSM topology patch. --- ## ADR-032: Phase 5T preserved-artifact teacher gate does not justify trainable SNN execution **Date:** 2026-04-25 *"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5W_WIDEPROBE.md,"ng oracle path, compares representation levels R0-R6, and tests whether upstream DYNAP-compatible encodings can recover low-FP beta-burst events. ## Guardrails - Phase 3 labels are frozen. - STN-LFP only; no MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic CNN/RNN/Transformer fin"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5W_WIDEPROBE.md,can recover low-FP beta-burst events. ## Guardrails - Phase 3 labels are frozen. - STN-LFP only; no MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic CNN/RNN/Transformer final detector. - Event metrics are primary; AUC and PR-AUC are secondary. ## Resource Run The completed pr
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_RUNBOOK.md,"e offline Phase 3 oracle passes while causal Phase 3-like replay and R1-R6 causal/DYNAP-compatible representations fail low-FP recovery. Phase 5X tested SNN-native predictive compensation, including adaptive Smith prediction; the best predictive branch improved some diagnostics but did not pass. Phase 5Y"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_RUNBOOK.md,CPU smoke/debug - Brian2CUDA for focused sweeps Explicitly excluded: - MEG - Phase 3 relabeling/redefinition - Phase 6 LOSO cohort evaluation as the main task - SG-BPTT / feedback-control training as the main path - hardware deployment ## Environment boot The current project environment for future GP
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_EVENT_TARGET_DECISION_PACKAGE.md,# Phase 5_2C Event-Target Decision Package Status: ready for project-owner target approval. This package prepares an explicit Phase 5_2C engineering gate for owner decision. It does not appr
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,docs/PHASE5_2C_EVENT_TARGET_DECISION_PACKAGE.md,"e FP/min grid `0.5`, `1.0`, `2.0`, and `5.0`, with recall at the FP/min grid as the primary reported event metric, plus AUROC/AUPRC, precision, F1, latency relative to Phase 3 onset, early-warning latency, and one-alarm-per-burst fraction. Historical references establish useful context but not an approv"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_ARCHITECTURE_ADR.md,# Phase 5_2C Architecture ADR: Reactive vs Predictive vs Hybrid Early-Warning Status: accepted_for_phase5_2c_stage_c_d_e_planning Date: 2026-04-27 Git commit: `84eec26044d3a3d91df3a0c1e28c066
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_2C_ARCHITECTURE_ADR.md,t.tsv` - `results/tables/05_phase5/phase5_2c/negative_control_rerun.tsv` - `results/tables/05_phase5/phase5_2c/baseline_loso_validation.tsv` - `results/tables/05_phase5/phase5_2c/stage_a_output_validation_summary.tsv` ## Context Stage B selects the architectural target for Phase 5_2C Stage C/D/E plann
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_PRE_ADR_RECOMMENDATION.md,# Phase 5_2C Pre-ADR Recommendation Recommendation: `EVENT_TARGET_METRIC_SENSITIVE`. Final task state: `pre_adr_recommends_event_target_metric_sensitive`. Rationale: event recall improves m
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_2A_FEATURE_ATLAS.md,12290 | ## Main Separability Findings | negative_category | feature | auroc_direction_corrected | pr_auc_direction_corrected | overlap_coefficient | cohens_d | |:---------------------------------|:------------------------------------|---------------
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_EVENT_TARGET_DECISION_PACKAGE_REVISED.md,"# Phase 5_2C Event-Target Decision Package, Revised Status: current low-recall target candidates rejected by project owner. The headline finding is low event recall, not procedural approval"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_2C_EVENT_TARGET_DECISION_PACKAGE_REVISED.md,"an an identified scorer bug. - The empirical ceiling analysis was performed from causal scores and event structure, not AUROC alone. - Per-subject recall distributions were summarized with hashed subject keys only. ## Owner Decision Needed The project owner must decide whether to remediate the event de"
burden pivot,burden pivot ADR,not_numeric_in_excerpt,docs/PHASE5_2C_EVENT_TARGET_DECISION_PACKAGE_REVISED.md,"cide whether to remediate the event detector, run only discovery-style characterization, reopen the architecture toward burden/state tracking, or close the event-detection branch as insufficient. Current reassessment recommendation: `OPTION_C_REOPEN_ADR_BURDEN_STATE`. Recommendation reason: diagnostic score-r"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_2B_DERIVATIVE_DYNAMICS.md,"# Phase 5_2B Derivative-Dynamics Atlas This diagnostic atlas preserves frozen Phase 3 labels, uses STN-LFP inputs only, and does not train a final detector or make a DYNAP-SE1 deployment clai"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_FINAL_DECISION.md,"e 4/5 representations, high-throughput SNN/NSM branches, and Phase 5X predictive-compensation branches do not close the low-FP event recovery gap. This does not show that raw STN-LFP lacks beta-burst information, that DYNAP-SE1 cannot detect beta bursts, or that SNNs cannot detect beta bursts. It shows t"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5_FINAL_DECISION.md,"# Phase 5 Final Decision Package ## 1. Executive conclusion Phase 5 should not proceed to Phase 6 LOSO or DYNAP-SE1 hardware deployment on the current detector path. The offline Phase 3 label-defining path is recoverable by its own oracle, but causal Phase 3-like replay, Phase 4/5"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.038,docs/PHASE5X_PREDICTIVE_COMPENSATION.md,"promising candidates. ## Final Result Phase 5X selected Outcome 2: predictive compensation improves but does not pass low-FP event gates. Adaptive Smith was the best supported predictive branch (`C9_adaptive_smith_bank_75_125_175_225`), with recall at <=1 FP/min of about `0.038` and best event F1 about"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,docs/PHASE5X_PREDICTIVE_COMPENSATION.md,"predictive compensation. The study preserves Phase 3 labels and Phase 4/5 baselines. It does not use MEG, run Phase 6 LOSO, deploy DYNAP-SE1 hardware, relabel data, or accept a generic black-box detector. ## Execution Use sbatch for production: ```bash sbatch results/logs/05_phase5/predictive/phase"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_EVENT_ALARM_RECONSTRUCTION_HEADROOM.md,# Phase 5_2C Event Alarm Reconstruction Headroom This document reports bounded causal score-to-alarm strategies A0-A5. Thresholds were selected on training subjects only and evaluated on held
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,docs/PHASE5_2C_SCORING_TOLERANCE_SENSITIVITY.md,"# Phase 5_2C Scoring Tolerance Sensitivity This analysis changes event scoring windows without changing causal scores. Widened and interval scoring rows are sensitivity analyses only, not dep"
burden pivot,burden pivot ADR,not_numeric_in_excerpt,reports/phase6_publication_strategy/ADR_phase6_corrected_strategy.md,", or therapeutic superiority. Allowed framing: neuromorphic implementation/evaluation of a clinically relevant STN-LFP burden/state-tracking policy and hardware-compatible evaluation of physiologically motivated aDBS-style control substrate. ## Gate Outcomes - PASS: proceed to Phase 6A Brian2/state-machine s"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/selected_input_recommendation.json,"{ ""alternative_candidates"": [ ""results/tables/05_phase5/phase5_2c/causal_frontend_smoke_features.tsv"", ""results/tables/05_phase5/phase5_2c/causal_tier1_event_metrics.tsv"", ""results/tables/05_phase5/phase5_2c/causal_tier2_event_metrics.ts"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/selected_input_recommendation.json,"m_sufficient_subset.tsv"": ""fewer than five feature-like columns"", ""results/tables/05_phase5/phase5_2c/causal_subset_loso_heldout_predictions.tsv"": ""fewer than five feature-like columns"", ""results/tables/05_phase5/phase5_2c/causal_tier1_continuous.tsv"": ""fewer than five feature-like columns"","
Phase 5_2C,Phase 5_2C event recall / FP-min,200.0,reports/phase6a0_burden_viability/burden_viability_findings.json,"ence is not high."" ], ""repo_root"": ""/scratch/haizhe/stn"", ""selected_input_files"": [ ""results/tables/05_phase5/phase5_2c/causal_feature_matrix.tsv"" ], ""selected_subject_count"": 0, ""session_column"": """", ""subject_column"": """", ""target_label_column"": """", ""tau_ms_values"": [ 200.0, 500"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/phase6a0_commands_run.txt,"phase3|phase4|phase5|burst|burden|feature|label|stn|parquet|csv|json|pkl|npz|mat' | head -300 || true rg -n ""Phase 5_2B|Phase 5_2C|burden|AUROC|268,959|LOSO|MedOff|MedOn|Hold|Move|UPDRS|bradykinesia|burst"" reports scripts data config configs pyproject.toml README* 2>/dev/null | head -500 || true source /scrat"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/phase6a0_commands_run.txt,"| grep -E 'phase3|phase4|phase5|burst|burden|feature|label|stn|parquet|csv|json|pkl|npz|mat' | head -300 || true rg -n ""Phase 5_2B|Phase 5_2C|burden|AUROC|268,959|LOSO|MedOff|MedOn|Hold|Move|UPDRS|bradykinesia|burst"" reports scripts data config configs pyproject.toml README* 2>/dev/null | head -500 || true so"
Phase 5_2C,Phase 5_2C event recall / FP-min,4162.410908,reports/phase6a0_burden_viability/input_discovery.csv,"s,detected_metadata_cols,candidate_score,likely_use,acceptance_reasons,rejection_reasons,notes results/tables/05_phase5/phase5_2c/causal_feature_matrix.tsv,.tsv,4162.410908,readable_header_only,known_prior_validation=690088,373,subject_id,window_start_s,window_type;negative_category;target_label;long_burst_c"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/input_discovery.csv,"y_scoring_metric_family;primary_contrast;latency_interpretation;tautology_risk_level;DYNAP_candidate,baseline_ratio_C08_LOSO_AUROC;baseline_ratio_C08_LOSO_min_AUROC;baseline_ratio_C08_cross_subject_reliable;rationale;uses_phase3_duration_rule,,20,candidate_primary_input,subject column detected;label/tar"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/README_burden_viability.md,selection. ## Dataset/Input Files Discovered And Selected - Selected input recommendation: `results/tables/05_phase5/phase5_2c/causal_feature_matrix.tsv` - Selection confidence: `high` - Selected input files used: `results/tables/05_phase5/phase5_2c/causal_feature_matrix.tsv` - Discovery candidates record
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/README_burden_viability.md,r column within subject/session/condition/channel streams. No centered windows or future labels are used. ## Model And LOSO Validation The primary model is a deterministic subject-held-out ridge least-squares probability scorer on selected allowed causal features. Features are standardized using train
burden pivot,burden pivot ADR,not_numeric_in_excerpt,reports/phase6a0_burden_viability/README_burden_viability.md,"se 6A.0 Burden-Target Viability Gate ## Purpose And Corrected Phase 6 Framing Phase 6 starts with an internal STN-LFP burden/state viability gate. The claim being tested is a neuromorphic approximation of a clinically relevant STN-LFP burden/state-tracking policy, not clinical efficacy or FDA-grade validity."
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,results/tables/05_phase5/phase5_final_decision_package.md,"e 4/5 representations, high-throughput SNN/NSM branches, and Phase 5X predictive-compensation branches do not close the low-FP event recovery gap. This does not show that raw STN-LFP lacks beta-burst information, that DYNAP-SE1 cannot detect beta bursts, or that SNNs cannot detect beta bursts. It shows t"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,results/tables/05_phase5/phase5_final_decision_package.md,"# Phase 5 Final Decision Package ## 1. Executive conclusion Phase 5 should not proceed to Phase 6 LOSO or DYNAP-SE1 hardware deployment on the current detector path. The offline Phase 3 label-defining path is recoverable by its own oracle, but causal Phase 3-like replay, Phase 4/5"
Phase 5_2C,Phase 5_2C event recall / FP-min,84.00000000000318,results/tables/05_phase5/phase5_final_decision_summary.tsv,98234 84.00000000000318 150.0000000000341 -142.99999999997226 causal proxy False Forward-only Phase 3-like replay fails low-FP recovery. fail Best constant-shift diagnostic predictive/constant_shift_diagnostic.tsv phase4_beta_evidence R2 0.2244525547445255 0.2244525547445255 0.4172932330827068 45.1678792
Phase 5_2C,Phase 5_2C event recall / FP-min,-115.0000000000091,results/tables/05_phase5/training/e1_teacher_summary.tsv,"000003502 -115.0000000000091 0.2707092582566324 0.16485097320049547 47390 18193 548 False E1 failed: AUC=0.572, recall@1FP/min=0.000, F1 margin vs Phase5R baseline=0.165"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.572,results/tables/05_phase5/training/phase5t_training_closeout.md,"ector and was used only as an upper-bound diagnostic. ## Gate Evidence - E1 candidate-score AUC: 0.572 - E1 recall at FP/min <= 1.0: 0.000 - E1 recall at FP/min <= 0.5: 0.000 - E1 best event F1: 0.436 - Phase 5R baseline event F1: 0.271 - E1 gate reason: E1 failed: AUC=0.572, recall@1FP/min=0.000, F1 ma"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.5,results/tables/05_phase5/phase5_2c/event_recall_gap_to_ceiling.tsv,"gnostic ceilings are not deployment claims event_recall_empirical_ceiling.tsv observed_recall,ceiling_recall,recall_gap Phase 5_2C observed-to-ceiling recall gap analysis b43c5edce66220e2 20260426 False False False low low True True event_window_aggregation_ceiling oracle_not_deployable 0.5 0.0025615155552072"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/event_scoring_policy.tsv,"ted_separately_as_early_warning_candidate; not counted as committed alarm success unavailable direct warning Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found. event_scoring_target_resolution.tsv target_status Stage F event scoring policy b"
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,results/tables/05_phase5/phase5_2c/event_scoring_policy.tsv,"gy_risk_level leakage_risk_level SNN_compatible DYNAP_candidate unavailable [0.5, 1.0, 2.0, 5.0] recall_at_fp_min_grid AUROC,AUPRC,precision,F1,latency,one_alarm_per_burst_fraction Phase 3 onset 500 anchor_onset_s_to_anchor_offset_s reported_separately_as_early_warning_candidate; not counted as committe"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/hyperparameter_sweep_full.tsv,s uses_phase3_threshold uses_phase3_duration_rule uses_test_participant_statistics contrast_id contrast_description raw_AUROC oriented_AUROC pooled_oriented_AUROC per_subject_median_AUROC per_subject_IQR_AUROC LOSO_AUROC LOSO_min_AUROC LOSO_max_AUROC Brier ECE amplitude_jitter20_AUROC_loss causal_status
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/negative_control_rerun.tsv,"a_rise_acceleration_per_ms2,beta_boundary_contrast,low_beta_high_beta_ratio,spatial_channel_to_top2_ratio deterministic Phase 5_2C rerun on safe candidate features 392e5f1466d5f0c0 20260426 False False False False low low True True beta_local_baseline_ratio label_shuffle_across_subject C08 true_full_burst vs"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/negative_control_rerun.tsv,feature_name negative_control_name contrast_id contrast_description unexpected_high_auroc raw_AUROC oriented_AUROC orientation_direction median_positive median_negative positive_greater_than_negative sign_used_for_score n_valid_samples n_missing_samples nan_fraction in
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/causal_hyperparameter_sweep_feasibility.tsv,direct ok False False False False low low True True causal_feature_matrix_feature_metadata.tsv output_column validated Phase 5_2C causal production feature matrix ae8f3de36bed76c1 20260427 beta_local_baseline_ratio__h25__baseline1s__log_divide beta_local_baseline_ratio beta_local_baseline_ratio beta_local_ba
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/causal_feature_matrix_feature_metadata.tsv,"h25__baseline1s__subtract_divide direct ok raw STN-LFP FIF via frozen window_index.tsv fif_path,channel,window_start_s Phase 5_2C causal production frontend; one-pass causal filters and rectified EMA envelopes ae8f3de36bed76c1 20260427 False False False False low low True True True causal_sosfilt_order4 rect"
