noise_condition,case_id,mean_false_alarm_per_min,max_false_alarm_per_min,transient_claim_rate,interpretation
impulse_artifact_0p25,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
impulse_artifact_0p25,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
clipping_0p75,no_burst,0.0,0.0,0.0,Strict negative control.
clipping_0p75,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
clipping_0p75,sustained_only,0.0,0.0,0.55,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
mismatch_0p05,no_burst,0.0,0.0,0.0,Strict negative control.
mismatch_0p05,power_shift_no_burst,0.8571428571428571,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
mismatch_0p05,sustained_only,0.0,0.0,0.98,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
mismatch_0p10,no_burst,0.0,0.0,0.0,Strict negative control.
mismatch_0p10,power_shift_no_burst,0.8571428571428571,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
mismatch_0p10,sustained_only,0.0,0.0,0.97,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
mismatch_0p20,no_burst,0.0,0.0,0.0,Strict negative control.
mismatch_0p20,power_shift_no_burst,1.7142857142857142,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
mismatch_0p20,sustained_only,0.0,0.0,0.91,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
quant_8bit,no_burst,0.0,0.0,0.0,Strict negative control.
quant_8bit,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
quant_8bit,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
quant_6bit,no_burst,0.0,0.0,0.0,Strict negative control.
quant_6bit,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
quant_6bit,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
quant_4bit,no_burst,0.0,0.0,0.0,Strict negative control.
quant_4bit,power_shift_no_burst,2.142857142857143,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
quant_4bit,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
