prior_phase,metric,value,source_file,found_status,interpretation
burden pivot,burden pivot ADR,0.856359,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,00ms | 0.856359 | 5.95572 | event recall is materially sensitive to scoring tolerance | ## R3 Burden/State Ceiling | target_id | window_s | score_source | deployability_class | pearson_correlation | high_burden_AUROC |
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,t. - Fresh raw all-channel validation: `lif_swta_d2_entry_event_proxy` did not validate as a patch candidate. It kept FP/min below 2 but recall collapsed. ## Outputs - `results/tables/05_phase5/adjudication/d2_occupancy_event_audit.tsv` - `results/tables/05_phase5/adjudication/d2_occupancy_audit.md` -
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"ase 5 detector patch. It keeps Phase 3 labels frozen, keeps Phase 4 as the front-end baseline, and does not run Phase 6 LOSO, MEG, hardware deployment, or black-box classifiers. ## Result Selected closeout: Outcome A, metric bug found. The D2/D2+ occupancy audit found that preserved Phase 5P latency"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"fine Phase 3 labels, redesign Phase 4 globally, replace the monoNSM with a black-box classifier, use MEG, start Phase 6 LOSO evaluation, or target hardware deployment. ## Commands ```bash python scripts/05j_fusion_probe_evidence_table.py python scripts/05k_fusion_probe_synthetic.py python scripts/05l_"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.015,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"tcome 1, current representations are information-limited. Best branch metrics: | Branch | Best candidate | Recall <=1 FP/min | Best event F1 | AUC | |---|---:|---:|---:|---:| | teacher_ladder | `L3_causal_conv` | 0.015 | 0.193 | 0.582 | | spiking_eventizer | `L1_lif_sparse_f16_tau20` | 0.078 | 0.327 | 0"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,the Phase 4 front end frozen and remains STN-LFP only. ## Guardrails - No Phase 3 relabeling. - No MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic black-box final detector. - Event metrics are primary; AUC and PR-AUC are secondary. ## Resume Job Previous interactive job `25
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Causal Frontend Remediation Plan Status: accepted_for_causal_frontend_recovery_gate ## Scope This plan remediates only the seven approved Phase 5_2C feature families. It does n
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"lds/calibration. - Treat missing pre-window history as unavailable, not as permission to use future samples. - Preserve LOSO discipline: held-out participants are evaluation-only. - Keep spatial/top-k context same-time and channel-local; no label-based channel selection. ## Stage Gates R1 requires syn"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.572,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"candidate-event proposals. It is not a final detector. The gate failed: - candidate-score AUC: ~0.572 - recall at <=1 FP/min: 0.0 - recall at <=0.5 FP/min: 0.0 - E2-E6: gate-skipped No raw LFP, extracted FIF, MNE object, GPU-heavy training, Phase 6 LOSO, MEG, or hardware deployment was run in this pass"
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"- recall at <=0.5 FP/min: 0.0 - E2-E6: gate-skipped No raw LFP, extracted FIF, MNE object, GPU-heavy training, Phase 6 LOSO, MEG, or hardware deployment was run in this pass. ## Phase 5T-2 Dense-Trace Audit Phase 5T-2 corrects the preserved-artifact limitation by regenerating dense Phase 4/5 traces f"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,does not recover the dev case. Band-sWTA + duration counter is retained only as an interpretable comparator because its FP/min is too high. **Rationale:** The ablation directly tests the front-end hypothesis without redefining Phase 3 labels or replacing the monoNSM with a black-box classifier. The eviden
Phase 5_2B,Phase 5_2B AUROC/subset,0.006,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"call to about 0.006. The next scientific path is the planned training-based route, not Phase 3 relabeling, MEG, Phase 6 LOSO, hardware deployment, or a blind monoNSM topology patch. --- ## ADR-032: Phase 5T preserved-artifact teacher gate does not justify trainable SNN execution **Date:** 2026-04-25 *"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"ng oracle path, compares representation levels R0-R6, and tests whether upstream DYNAP-compatible encodings can recover low-FP beta-burst events. ## Guardrails - Phase 3 labels are frozen. - STN-LFP only; no MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic CNN/RNN/Transformer fin"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,can recover low-FP beta-burst events. ## Guardrails - Phase 3 labels are frozen. - STN-LFP only; no MEG. - No Phase 6 LOSO. - No DYNAP-SE1 hardware deployment. - No generic CNN/RNN/Transformer final detector. - Event metrics are primary; AUC and PR-AUC are secondary. ## Resource Run The completed pr
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"e offline Phase 3 oracle passes while causal Phase 3-like replay and R1-R6 causal/DYNAP-compatible representations fail low-FP recovery. Phase 5X tested SNN-native predictive compensation, including adaptive Smith prediction; the best predictive branch improved some diagnostics but did not pass. Phase 5Y"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,CPU smoke/debug - Brian2CUDA for focused sweeps Explicitly excluded: - MEG - Phase 3 relabeling/redefinition - Phase 6 LOSO cohort evaluation as the main task - SG-BPTT / feedback-control training as the main path - hardware deployment ## Environment boot The current project environment for future GP
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Event-Target Decision Package Status: ready for project-owner target approval. This package prepares an explicit Phase 5_2C engineering gate for owner decision. It does not appr
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"e FP/min grid `0.5`, `1.0`, `2.0`, and `5.0`, with recall at the FP/min grid as the primary reported event metric, plus AUROC/AUPRC, precision, F1, latency relative to Phase 3 onset, early-warning latency, and one-alarm-per-burst fraction. Historical references establish useful context but not an approv"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Architecture ADR: Reactive vs Predictive vs Hybrid Early-Warning Status: accepted_for_phase5_2c_stage_c_d_e_planning Date: 2026-04-27 Git commit: `84eec26044d3a3d91df3a0c1e28c066
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,t.tsv` - `results/tables/05_phase5/phase5_2c/negative_control_rerun.tsv` - `results/tables/05_phase5/phase5_2c/baseline_loso_validation.tsv` - `results/tables/05_phase5/phase5_2c/stage_a_output_validation_summary.tsv` ## Context Stage B selects the architectural target for Phase 5_2C Stage C/D/E plann
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Pre-ADR Recommendation Recommendation: `EVENT_TARGET_METRIC_SENSITIVE`. Final task state: `pre_adr_recommends_event_target_metric_sensitive`. Rationale: event recall improves m
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,12290 | ## Main Separability Findings | negative_category | feature | auroc_direction_corrected | pr_auc_direction_corrected | overlap_coefficient | cohens_d | |:---------------------------------|:------------------------------------|---------------
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5_2C Event-Target Decision Package, Revised Status: current low-recall target candidates rejected by project owner. The headline finding is low event recall, not procedural approval"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"an an identified scorer bug. - The empirical ceiling analysis was performed from causal scores and event structure, not AUROC alone. - Per-subject recall distributions were summarized with hashed subject keys only. ## Owner Decision Needed The project owner must decide whether to remediate the event de"
burden pivot,burden pivot ADR,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"cide whether to remediate the event detector, run only discovery-style characterization, reopen the architecture toward burden/state tracking, or close the event-detection branch as insufficient. Current reassessment recommendation: `OPTION_C_REOPEN_ADR_BURDEN_STATE`. Recommendation reason: diagnostic score-r"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5_2B Derivative-Dynamics Atlas This diagnostic atlas preserves frozen Phase 3 labels, uses STN-LFP inputs only, and does not train a final detector or make a DYNAP-SE1 deployment clai"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"e 4/5 representations, high-throughput SNN/NSM branches, and Phase 5X predictive-compensation branches do not close the low-FP event recovery gap. This does not show that raw STN-LFP lacks beta-burst information, that DYNAP-SE1 cannot detect beta bursts, or that SNNs cannot detect beta bursts. It shows t"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5 Final Decision Package ## 1. Executive conclusion Phase 5 should not proceed to Phase 6 LOSO or DYNAP-SE1 hardware deployment on the current detector path. The offline Phase 3 label-defining path is recoverable by its own oracle, but causal Phase 3-like replay, Phase 4/5"
Phase 5_2C,Phase 5_2C event recall / FP-min,0.038,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"promising candidates. ## Final Result Phase 5X selected Outcome 2: predictive compensation improves but does not pass low-FP event gates. Adaptive Smith was the best supported predictive branch (`C9_adaptive_smith_bank_75_125_175_225`), with recall at <=1 FP/min of about `0.038` and best event F1 about"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"predictive compensation. The study preserves Phase 3 labels and Phase 4/5 baselines. It does not use MEG, run Phase 6 LOSO, deploy DYNAP-SE1 hardware, relabel data, or accept a generic black-box detector. ## Execution Use sbatch for production: ```bash sbatch results/logs/05_phase5/predictive/phase"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Event Alarm Reconstruction Headroom This document reports bounded causal score-to-alarm strategies A0-A5. Thresholds were selected on training subjects only and evaluated on held
Phase 5Y/5Z/5_2C,burden correlation/ceiling,5.0,results/tables/05_phase5/phase5_2c/burden_state_ceiling_metrics_pre_adr.tsv,found,Prior burden/state evidence source; values are context only unless exact table columns are read.
Phase 5_2B/5_2C,feature subset or AUROC,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/burden_state_ceiling_metrics_pre_adr.tsv,found,Prior feature subset evidence.
Phase 5_2C,event recall / FP-min collapse,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/event_recall_gap_to_ceiling.tsv,found,Prior event-detection limitation context.
Phase 5_2B/5_2C,feature subset or AUROC,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/event_recall_gap_to_ceiling.tsv,found,Prior feature subset evidence.
Phase 5_2C,event recall / FP-min collapse,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/event_per_subject_recall_distribution.tsv,found,Prior event-detection limitation context.
Phase 5_2B/5_2C,feature subset or AUROC,not_numeric_in_excerpt,results/tables/05_phase5/phase5_2c/causal_minimum_sufficient_subset.tsv,found,Prior feature subset evidence.
Phase 5_2B/5_2C,feature subset or AUROC,0.0466,results/tables/05_phase5/feature_atlas_2b/top_feature_sets_for_detector_design.tsv,found,Prior feature subset evidence.
Phase 5Y/5Z/5_2C,burden correlation/ceiling,0.9584986263672719,results/tables/05_phase5/feature_atlas_2b/burden_loso_generalization.tsv,found,Prior burden/state evidence source; values are context only unless exact table columns are read.
Phase 5_2B/5_2C,feature subset or AUROC,not_numeric_in_excerpt,results/tables/05_phase5/feature_atlas_2b/burden_loso_generalization.tsv,found,Prior feature subset evidence.
Phase 5Y/5Z/5_2C,burden correlation/ceiling,0.10,docs/PHASE5_2C_ARCHITECTURAL_TARGET_REASSESSMENT.md,found,Prior burden/state evidence source; values are context only unless exact table columns are read.
Phase 5_2C,event recall / FP-min collapse,2.0,docs/PHASE5_2C_ARCHITECTURAL_TARGET_REASSESSMENT.md,found,Prior event-detection limitation context.
Phase 5_2B/5_2C,feature subset or AUROC,0.749,docs/PHASE5_2C_ARCHITECTURAL_TARGET_REASSESSMENT.md,found,Prior feature subset evidence.
burden pivot,ADR/recommendation,found,docs/PHASE5_2C_ARCHITECTURAL_TARGET_REASSESSMENT.md,found,Prior source discusses burden/state pivot or ADR reopening.
Phase 5Y/5Z/5_2C,burden correlation/ceiling,0.10,docs/PHASE5_2C_PRE_ADR_BOUNDED_REMEDIATION_ANALYSIS.md,found,Prior burden/state evidence source; values are context only unless exact table columns are read.
Phase 5_2C,event recall / FP-min collapse,not_numeric_in_excerpt,docs/PHASE5_2C_PRE_ADR_BOUNDED_REMEDIATION_ANALYSIS.md,found,Prior event-detection limitation context.
Phase 5_2B/5_2C,feature subset or AUROC,not_numeric_in_excerpt,docs/PHASE5_2C_PRE_ADR_BOUNDED_REMEDIATION_ANALYSIS.md,found,Prior feature subset evidence.
burden pivot,ADR/recommendation,found,docs/PHASE5_2C_PRE_ADR_BOUNDED_REMEDIATION_ANALYSIS.md,found,Prior source discusses burden/state pivot or ADR reopening.
Phase 5Y,burden correlation around r ~= 0.334,not_found,reports+docs search,not_found,Specific r ~= 0.334 claim not repeated as fact because exact source was not found in this autopsy search.
Phase 6A.0,burden viability gate,FAIL,reports/phase6a0_burden_viability/burden_viability_findings.json,found,Phase 6A.0 failed the formal gate and motivates this autopsy.
